iter	Passed	Remaining
0	31	3106
1	69	3426
2	91	2957
3	106	2550
4	122	2336
5	144	2267
6	161	2147
7	179	2065
8	199	2017
9	220	1988
10	243	1971
11	269	1977
12	291	1948
13	307	1887
14	327	1855
15	349	1833
16	368	1801
17	392	1788
18	413	1764
19	436	1744
20	456	1717
21	480	1703
22	506	1694
23	530	1678
24	552	1658
25	568	1618
26	586	1585
27	607	1563
28	630	1542
29	646	1508
30	661	1473
31	689	1464
32	706	1434
33	726	1410
34	747	1387
35	762	1355
36	781	1330
37	814	1329
38	834	1305
39	851	1276
40	865	1245
41	880	1216
42	895	1186
43	910	1158
44	926	1131
45	940	1104
46	959	1081
47	978	1059
48	1001	1041
49	1021	1021
50	1040	999
51	1061	979
52	1079	957
53	1095	933
54	1111	909
55	1131	888
56	1153	870
57	1184	857
58	1204	837
59	1226	817
60	1247	797
61	1281	785
62	1300	763
63	1320	742
64	1343	723
65	1371	706
66	1393	686
67	1411	664
68	1434	644
69	1452	622
70	1473	602
71	1495	581
72	1520	562
73	1541	541
74	1566	522
75	1600	505
76	1624	485
77	1643	463
78	1670	444
79	1693	423
80	1720	403
81	1741	382
82	1759	360
83	1781	339
84	1804	318
85	1831	298
86	1852	276
87	1866	254
88	1882	232
89	1896	210
90	1911	189
91	1926	167
92	1941	146
93	1957	124
94	1973	103
95	1992	83
96	2011	62
97	2032	41
98	2057	20
99	2078	0
